Organisation,Postcode,Website,Facebook,Twitter
Foodbank at St Matthew's,RH1 1DL,N/A,N/A,N/A
Foodbank PLUS (Barnabas Community Projects),SY3 7DN,www.urbancommunityprojects.org.uk/camden-mobile-food-bank,@Camdenmfb,@Camdenmfb
Foodbank4Whitby,YO21 3AJ,www.foodbank4whitby.org.uk/,@foodbankwhitby,N/A
FoodShare,SL6 1LL,www.foodshare.charity,N/A,@FoodbankBerks
Foothold Cymru,SA14 9RA,www.footholdcymru.org.uk,@FootholdCymru,@footholdcymru
Frank Moran Centre (Milton Keynes Food Bank),MK3 6PA,mkfoodbank.org.uk/,@MKFoodBank,N/A
Freedom Community Project,S44 6LY,N/A,N/A,N/A
Fresh,SK3 8LX,N/A,N/A,N/A
Fresh,SK3 0RJ,N/A,N/A,N/A
Fresh,SK3 8QJ,N/A,N/A,N/A
Fresh,SK3 8LQ,N/A,N/A,N/A
Fresh,SK8 2JF,N/A,N/A,N/A
Fresh,SK5 8HH,N/A,N/A,N/A
Friends of Eastwoods Park,NE42 5DT,N/A,@MinersLampCafe,N/A
Friends of Isaacs Food Bank,B98 7RP,www.teamisaac.co.uk,@FriendsofIsaacsFoodBank,N/A
Friends of Isaacs Food Bank,B97 6HX,www.teamisaac.co.uk,@FriendsofIsaacsFoodBank,N/A
Friends of meadowside cic,WA2 8AP,www.friendsofmeadowside.org/,N/A,N/A
Friends of meadowside cic,WA2 9EP,www.friendsofmeadowside.org/,N/A,N/A
Friends of the Homeless (Fareham Basics Bank),PO16 7XU,www.friendsofmeadowside.org/,@FarehamandGosportBasicsBank,N/A
Friends of the Homeless (Gosport Basics Bank),PO12 1FQ,www.friendsofmeadowside.org/,@FarehamandGosportBasicsBank,N/A
Fusion Housing,WF12 8DJ,www.fusionhousing.org.uk,N/A,@FusionHousing1
Galashiels and District Foodbank,TD1 3HS,Galashielsfoodbank.co.uk,N/A,N/A
Gillingham Street Angels,ME7 1LG,www.thestreet-angels.org,N/A,@thestreetangel2
Glasgow Vineyard,G11 6PW,www.glasgowvineyard.org,N/A,@GlasgowVineyard
Glastonbury & Street Bridging the Gap Foodbank,BA6 8BS,www.together.ourchurchweb.org.uk/glastonbury/churches/foodbank/,www.facebook.com/Glastonbury-Bridging-the-Gap-the-Foodbank-for-Glastonbury-Street-103079174382642/,N/A
Globe Community & Fitness Activities Centre,M16 7QB,www.globecentre.org.uk,N/A,@GlobeManchester
Glossopdale Foodbank,SK13 0LU,www.glossopdalefoodbank.org.uk,@glossopdalefoodbank,N/A
Glossopdale Foodbank,SK13 8HZ,www.glossopdalefoodbank.org.uk,@glossopdalefoodbank,N/A
Glossopdale Foodbank,SK13 2DW,www.glossopdalefoodbank.org.uk,@glossopdalefoodbank,N/A
Goldhill Play Association Limited,LE2 6TL,www.goldhilladventureplayground.org,@goldhillplay,@goldhillplay
Govan Community Project,G51 3UU,www.govancommunityproject.org.uk,@govancommunityproject,@GovanCP
Grace Church Family,AB31 5ZU,www.gracechurchfamily.com,@gracechurchfamily,N/A
Grace Church Family,AB31 5ZU,www.gracechurchfamily.com,@gracechurchfamily,N/A
Grace Church Family,AB31 5ZU,www.gracechurchfamily.com,@gracechurchfamily,N/A
Grace Church Family,AB31 5ZU,www.gracechurchfamily.com,@gracechurchfamily,N/A
Grace Church Family,AB31 5ZU,www.gracechurchfamily.com,@gracechurchfamily,N/A
Grace Church Family,AB31 5ZU,www.gracechurchfamily.com,@gracechurchfamily,N/A
Grace Food Bank Sheffield,S8 7JB,www.gracefoodbanksheffield.org.uk,@GraceFoodBankSheffield,N/A
Granville Community Kitchen,NW6 5HE,www.granvillecommunitykitchen.org.uk/,N/A,@GranComKitchen
Great Linford Paris Office (Milton Keynes Food Bank),MK14 5HA,www.mkfoodbank.org.uk/,@MKFoodBank,@mkfoodbank
GroundWork East,LU1 4BH,www.groundwork.org.uk/sites/east,@GroundworkEast,@groundworkuk
Growing Faith in Community,M12 5WF,N/A,N/A,N/A
Hackney Church (Homerton Food Bank),E9 6RT,www.saint.church/lighthouse/,N/A,@hackneychurch_
Hackney Church (Leyton Food Bank),E10 5JP,www.saint.church/lighthouse/,N/A,@hackneychurch_
Hambleton FoodShare (Northallerton),DL7 8NS,www.hambletonfoodshare.org.uk,N/A,@HFoodshare
Harehills lane baptist church,LS8 4HE,www.hlbc.org.uk/,@harehillslanebc,@LaneBaptist
Harvesters' Soup Kitchen,E2 8AN,N/A,N/A,N/A
Hasi Humanitarian Organisation Ltd,N9 9UJ,www.hasifoundation.org,@HasiFoundationUKBD,@FoundationHasi
Healthy Living Platform,SW9 7AA,www.healthylivingplatform.org,@TheHealthyLivingPlatform,@LivingPlatform
Healthy Living Platform,SW9 6FZ,www.healthylivingplatform.org,@TheHealthyLivingPlatform,@LivingPlatform
Healthy Living Platform,SW8 1XY,www.healthylivingplatform.org,@TheHealthyLivingPlatform,@LivingPlatform
Healthy Living Platform,SW9 8QT,www.healthylivingplatform.org,@TheHealthyLivingPlatform,@LivingPlatform
Healthy Living Platform,SW9 6PH,www.healthylivingplatform.org,@TheHealthyLivingPlatform,@LivingPlatform
Healthy Me Healthy Communities (Anson),M13 0TR,www.hmhc.co.uk,@HMHCmcr,@HMHCmcr
Healthy Me Healthy Communities (Gorton),M18 8PE,www.hmhc.co.uk,@HMHCmcr,@HMHCmcr
Healthy Me Healthy Communities (Hulme),M15 6AX,www.hmhc.co.uk,@HMHCmcr,@HMHCmcr
Healthy Me Healthy Communities (Miles Platting),M40 7DD,www.hmhc.co.uk,@HMHCmcr,@HMHCmcr
Heart of Braehead Community Group,FK7 7QW,N/A,N/A,N/A
Hearts and Hands Stafford,ST17 4LY,www.heartsandhands-stafford.co.uk,N/A,N/A
Hebburn Helps,NE31 1QY,www.hebburnhelps.co.uk,N/A,@hebburnhelps
Hedge End Food Centre,SO30 4BZ,N/A,N/A,N/A
Hedgerows Family Centre (Milton Keynes Food Bank),MK6 4NP,www.mkfoodbank.org.uk/,@MKFoodBank,N/A
Helensburgh & Lomond Foodbank,G84 0RJ,N/A,N/A,N/A
Helensburgh & Lomond Foodbank,G84 7DQ,www.helensburghlomondfoodbank.org/,N/A,N/A
Helping the Homeless,ME1 2DR,www.helpingthehomeless.org.uk/,@OBFHTH,@onebigfamilyHTH
Hemsworth Food Pantry,WF9 4AT,N/A,@hemsworthfoodbank,N/A
Hereford Food Bank,HR1 2DX,www.herefordfoodbank.co.uk/,N/A,@BankHereford
High Peak Foodbank @ Zink,SK17 6LJ,www.zink.org.uk,www.facebook.com/High-Peak-Foodbank-1517378881863212/,@highpeakfoodbnk
Highams Park Food Aid,E4 9QZ,www.hphub.co.uk,@HPFoodHub,@HighamsHub
Highwayhope,M12 4QW,www.Highwayhope.co.uk,@www.highhope.co.uk,@Highwayhope_
Himmah,NG7 4EX,N/A,N/A,@Himmah_Notts
Hive Hope,DA11 9EQ,www.hivehope.btck.co.uk,N/A,N/A
Hive Hope,DA11 0RB,www.hivehope.btck.co.uk,N/A,N/A
Hive Hope,DA12 1HJ,www.hivehope.btck.co.uk,N/A,N/A
Hive Hope,DA11 9EU,www.hivehope.btck.co.uk,N/A,N/A
Holbeach Community Larder & Cafe,PE12 7LL,www.allsaintsholbeach.org.uk/community-larder/,@allsaintsholbeach,N/A
Holbeck Food Bank,LS11 0AB,www.holbeckfoodbank.org.uk/,N/A,N/A
Hollymoor Community Church,B31 5ER,N/A,@HollymoorCommunityChurch,@HollymoorChurch
"Holy Trinity Church, Wester Hailes",EH14 2SL,www.holytrinitywesterhailes.org.uk,N/A,N/A
Homeless Birmingham CERTUK,B45 0EE,N/A,@homelessbirminghamCERTUK,N/A
Homeless Pembrokeshire,SA61 2DJ,www.amandashomelesspembrokeshire.co.uk,www.facebook.com/groups/153866475371551/?ref=bookmarks,N/A
Homeschool Social Enterprise/ Active Christians,WS10 0GB,www.activechristians.org.uk,@ATVChristians,@ATVChristians
Hope Church Hounslow - Good Shepherds,TW4 6HJ,www.hopehounslow.org.uk,N/A,N/A
Hope Church Hounslow - St Paul's,TW3 3DA,www.hopehounslow.org.uk,N/A,N/A
Hope Church Luton Trust,LU2 7NT,www.hopechurch.co.uk,@hopechurchluton,N/A
Hope Family Arbourthorne,S2 2AN,www.welovearbourthorne.co.uk,www.facebook.com/hopefamilyarbourthorne/,N/A
Hope Food - North Birmingham,B75 5ED,N/A,@hopefoodnorthbirmingham,N/A
Hope Food - North Birmingham,B23 7JH,N/A,@hopefoodnorthbirmingham,N/A
Hope Food - North Birmingham,B75 7LB,N/A,@hopefoodnorthbirmingham,N/A
Hope for Belper,DE56 1BA,www.hopeforbelper.com/,@hopeforbelper,N/A
Hope Kitchen,PA34 4HU,www.hopekitchen.org.uk,N/A,N/A
Hopeworx,SS6 7XJ,www.hopeworx.org.uk,N/A,N/A
Hornsey Food Bank,N8 7JN,www.hornseyfoodbank.com,@HornseyFoodBank,@HornseyFoodBank
Horwich Foodshare,BL6 7UE,N/A,@mycommuntysupport,N/A
Hound Basics Food Bank,SO31 5EA,www.houndbasics.org.uk,@houndbasics,N/A
House of Bread,ST18 0GB,www.hobstafford.co.uk,@h.o.b.stafford,@hobstafford
House of Judah Church,CR0 3PB,www.houseofjudah.org.uk/,N/A,N/A
HTFoodbank [Holy Trinity Foodbank],N4 4RR,www.holytrinityfoodbank.org.uk/,N/A,N/A
Humanity First Food Bank,WF14 8AB,N/A,N/A,@HFFoodbanks
Humans MCR,M9 6FQ,www.humansmcr.org,@humansmcr,@HumansMCR
Hungry Hearts for the Homeless,ME15 6YH,N/A,@hungryheartsforthehomeless,N/A
Huntingdonshire Community Group,PE29 1PE,N/A,N/A,N/A
Hurst Green Community Fridge,RH8 0LB,N/A,N/A,N/A
Ibijoke Children Foundation UK,L7 0JA,www.ibijokefoundation.co.uk/,@ibijokefoundationuk,@ibijoke_cf
Impakt Food,MK40 1LQ,www.impakt.org.uk/food/,@IMPAKTfood,@IMPAKTorg
Independence Initiative Limited,L20 7EJ,www.independenceinitiative.org,@TheIndyPantry,@IndyPantry
Inspiring Grace,BB9 8SG,www.inspiringgrace.co.uk,www.facebook.com/Inspiring-Grace-337808346304119/,@inspringgrace
Instant Neighbour,AB24 3YJ,www.instantneighbour.co.uk/,N/A,@InstNeighbour
Islamic Culture & Education Centre Battersea,SW11 2PF,www.icecbattersea.org.uk/icec-food-bank/,N/A,N/A
Jacobs Well Care Centre charity number (1104075),PO12 4UZ,www.jacobswellcarecentre.co.uk,N/A,N/A
Jedburgh Food Bank,TD8 6AS,N/A,@JedburghChurchesFoodbank,N/A
Jedidiah UK,MK18 1BP,www.jedidiah.org.uk,N/A,N/A
Jedidiah UK,SG14 1AJ,www.jedidiah.org.uk,N/A,N/A
Jubilee Storehouse,SY23 1RY,N/A,@JubileeStorehouse,N/A
Junction 7,DL5 7DZ,N/A,Junction 7,N/A
Kairos Ministries Centre,B70 8LU,N/A,N/A,N/A
Katakata,SW2 1RS,www.facebook.com/KatakataBrixtonHill/,N/A,N/A
Kate's Kitchen,DG12 6AN,www.kateskitchen.org,N/A,N/A
Kersiebank Community Project,FK3 9EF,N/A,@KersiebankCP,@KersiebankCP
Kettering Foodbank,NN16 0DG,www.ketteringfoodbank.org,@ketteringfoodbank,N/A
Kincardine Community Association Ltd,FK10 4SF,N/A,N/A,@FifeVolAction
King's Communtiy Centre (Milton Keynes Food Bank),MK12 5LY,www.mkfoodbank.org.uk/,www.facebook.com/MKFoodBank,N/A
King's Table Great Sankey (King's Church Warrington),WA5 1JH,www.kingschurchwarrington.co.uk,@kingschurchwarrington,@kingschurchwarr
King's Table Orford (King's Church Warrington),WA2 9UE,www.kingschurchwarrington.co.uk,@kingschurchwarrington,@kingschurchwarr
King's Table Whitecross (King's Church Warrington),WA5 1NZ,www.kingschurchwarrington.co.uk,@kingschurchwarrington,@kingschurchwarr
Kingsbridge Area Food Bank,TQ7 1ND,www.kingsbridgefoodbank.org.uk,@KingsbridgeFoodbank,N/A
Kintyre Food Bank,PA28 6TP,N/A,@kintyrefoodbank,N/A
Kirkcaldy Food Bank,KY1 1TE,N/A,N/A,@kdyfoodbank
Kirkcaldy Food Bank,KY2 6LF,N/A,N/A,@kdyfoodbank
Kirkcaldy Food Bank,KY3 0BN,N/A,N/A,@kdyfoodbank
Kirkcaldy Food Bank,KY1 1XT,N/A,N/A,@kdyfoodbank
Kirkcaldy Food Bank,KY1 3BW,www.kirkcaldyfoodbank.org.uk,@kirkcaldy.foodbank,@kdyfoodbank
Kirriemuir Food Hub,DD8 4EJ,N/A,@kirriefoodhub,N/A
KLSB Community Group,FK5 4HE,Www.klsb.org.uk,@klsbgroup,@klsbgroup
Knighton & Presteigne Foodbank,LD7 1EY,www.knightonfoodbank.co.uk,N/A,N/A
L'chaim Food Bank,M7 4LN,www.lchaimfoodbank.co.uk,@lchaimfoodbank,N/A
Lambeth Larder,SW9 7QD,www.lambethlarder.org,@LambethLarder,@LambethLarder
Lammermuir Larder,EH41 3NB,www.lammermuirlarder.co.uk,@thelammermuirlarder,N/A
Lampeter Food Project,SA48 7BN,N/A,@lampeterfoodbank,N/A
Lancashire First,BB11 2DJ,www.lancashirefirst.org,@lancashirefirst,N/A
Largs Food Bank,KA30 8BL,N/A,@LargsFoodbank,N/A
Launch Foods,G2 6PH,www.launchfoods.org,N/A,N/A
Lea Road Church Community Food Project,WV3 0LW,www.learoadurc.org.uk/,@Learoadfood,N/A
Ledbury Food Bank,HR8 1AR,www.ledburyfoodbank.org/,@ledburyfoodbank,N/A
Legendary Community Club,SE26 6AD,N/A,@LegendaryCClub,N/A
Leighton Linslade Helpers,LU7 1DH,www.leightonlinsladehelpers.org.uk/,@leightonlinsladehelpers,N/A
Leominster Community Larder and Food Bank,HR6 8EQ,www.leominsterfoodbank.org,@Leominsterfoodbank,N/A
Lifeafterhummus Community Benefit Society,NW1 1ES,www.lifeafterhummus.com/,@lifeafterhummus,@lifeafterhummus
Lifeshare,M1 1EB,www.lifeshare.org.uk,@lifeshareuk,N/A
Lighthouse project at SAINT church,E15 3HU,www.saint.church/lighthouse/,N/A,N/A
Lighthouse project at SAINT church,E10 5JP,www.saint.church/lighthouse/,N/A,N/A
Lighthouse project at SAINT church,E9 6RT,www.saint.church/lighthouse/,N/A,N/A
Lincoln Community Larder - All Satnts Church,LN8 5RF,www.lincolnlarder.co.uk/,N/A,N/A
Lincoln Community Larder - Martin Village Hall,LN2 3QY,www.lincolnlarder.co.uk/,N/A,N/A
Lincoln Community Larder - St Giles Methodist Church,LN2 4LQ,www.lincolnlarder.co.uk/,N/A,N/A
Lincoln Community Larder - St John The Baptist Parish Church Hall,LN2 2EF,www.lincolnlarder.co.uk/,N/A,N/A
"Lincoln Community Larder - St Mary's Church, Welton",LN2 3HZ,www.lincolnlarder.co.uk/,N/A,N/A
Lincoln Community Larder - YMCA Annex,LN2 5AR,www.lincolnlarder.co.uk/,N/A,N/A
Liphook Food Bank,GU30 7QE,www.liphookfoodbank.com/,@LiphookFoodBank,N/A
Littleport Independent Foodbank,CB6 1PS,N/A,N/A,N/A
Living Hope Food Bank,S42 5TA,www.alccholmewood.com/living-hope,N/A,N/A
Living Well,SE20 7LX,www.livingwell.life,@livingwellbromleyfoodbank,@LWBromley
Loaves and Fishes Foodbank East Kilbride,G75 0XS,www.loavesandfishesek.com,@loavesandfishesfoodbankek,N/A
Lochaber Foodbank,PH33 6EU,www.lochaberfoodbank.org,@lochaberfoodbank,N/A
Love Glastonbury,BA6 9EL,N/A,@LoveGlastonburyCommunity,N/A
LOVE Gorgie,EH11 2LA,N/A,@LOVEGorgieFarm,N/A
Love: North Wales Community Help & Support,LL18 5UZ,N/A,www.facebook.com/groups/681383602667117/,@_LoveNorthWales
Lovechurch,BH1 3ED,www.lovechurch.org.uk,@Lovechurch,N/A
Ludlow Food Bank,SY8 1SX,www.strettonparish.org.uk,N/A,N/A
Luton Foodbank,LU3 3QB,www.lutonfoodbank.org.uk/,@LutonFoodbank,@LutonFoodbank
Luton Foodbank,LU1 3HZ,www.lutonfoodbank.org.uk/,@LutonFoodbank,@LutonFoodbank
Luton Foodbank,LU1 1TB,www.lutonfoodbank.org.uk/,@LutonFoodbank,@LutonFoodbank
Luton Foodbank,LU1 2RD,www.lutonfoodbank.org.uk/,@LutonFoodbank,@LutonFoodbank
Luton Foodbank,LU2 0JD,www.lutonfoodbank.org.uk/,@LutonFoodbank,@LutonFoodbank
Luton Foodbank,LU2 0JD,www.lutonfoodbank.org.uk/,@LutonFoodbank,@LutonFoodbank
Luton Foodbank,LU2 0JD,www.lutonfoodbank.org.uk/,@LutonFoodbank,@LutonFoodbank
Machars Churches Basics Food Bank,DG8 6EL,N/A,@macharsbasicsfoodbank2012,N/A
Making Dundee Home (JustBeeProductions),DD1 4EH,www.justbeeproductions.co.uk,@justbeeproductions,@justbeeingyou
Maldon Food Pantry,CM9 5DB,N/A,N/A,N/A
Manchester Gambia Support Network (MGSN),All Postcodes in Greater Manchester,www.mgsn.co.uk/,N/A,N/A
Manchester Refugee Support Network,M14 4RB,http://mrsn.org.uk/,@MRSNManchester,N/A
Manna Food Bank,AL10 0JJ,N/A,N/A,N/A
Margate Independent Foodbank CIC and MICommunity Shop Margate,CT9 1DL,N/A,@margateindependentfoodbank,N/A
Marsh Community Centre,LA1 5PP,www.marshcommunitycentre.org.uk,N/A,@MarshCommunity
Mayflower Tenants Association,SE16 7JP,N/A,N/A,N/A
MCKS Food Pantry,RG21 7SY,www.mcksfoodpantry.com,N/A,N/A
Meals Collective,G40 2DD,N/A,@mealscollective,N/A
Melvin Hall Community Group,SE20 8EU,N/A,@friendsofmelvinhall,
Meon Valley Food Bank,PO17 5AL,www.meonvalleyfoodbank.co.uk,,@MeonValleyFB
Micah Liverpool,L1 5JN,www.micahliverpool.com,@MicahLiverpool,@MicahLiverpool
Micah Liverpool,L8 7LT,www.micahliverpool.com,@MicahLiverpool,@MicahLiverpool
Millfield Community Fridge,PE1 2LY,www.opendoorhs.org.uk/millfield-community-fridge,N/A,N/A
Milton Keynes Christian Centre (Milton Keynes Food Bank),MK6 2TG,www.mkfoodbank.org.uk/,@MKFoodBank,N/A
Ministery The Glory of Shaddai,SW4 7NN,N/A,N/A,N/A
Mission Trinity,DN14 5QL,www.missiontrinity.org,N/A,N/A
Montrose Food Hub,DD10 8JG,N/A,@MontroseFoodHub,N/A
Moorlands Family Centre (Milton Keynes Food Bank),MK6 4LP,www.mkfoodbank.org.uk/,@MKFoodBank,N/A
Moray Food Plus,IV30 1DJ,www.morayfoodplus.org.uk,@MorayFoodPlus,@MorayFoodPlus
Mosaic Food Bank,LE3 8BG,www.mosaicchurch.org.uk,@mosaicchurchleic,N/A
Motherwell Food Bank @ Maranatha,ML1 1TT,www.clydevalleychurch.com/,@MotherwellFoodBankMaranatha,N/A
My 2nd Chance,SE14 5DJ,www.my2ndchance.co.uk,@my2ndchanceMH,@my2ndchance
Nailsea Community Group,BS48 1RQ,N/A,@NailseaCommunityGroup,N/A
Neema Women Community,B12 8LF,www.neemawomen.com,N/A,N/A
Neema Women Community,B29 7EL,www.neemawomen.com,N/A,N/A
Neo Community,CH42 3YN,www.neocommunity.org.uk/,N/A,N/A
Neruka's Soup Kitchen,LS8 5ES,N/A,N/A,N/A
New beginnings - Improving Lives CIC,L6 4BB,www.nbil-community.org,N/A,@beginningsi
New Forest Basics Bank,SO41 9BR,www.basicsbank.org.uk,N/A,N/A
New Life Church - The Storehouse Foodbank,CW12 4EY,www.nlchurch.org.uk,N/A,N/A
New Mills Helping Hands,SK22 3BY,www.new-mills-helping-hands-group.co.uk,@newmillshelpinghandsnewmillsfoodbank,@NewMillsFBank
Newham FoodBank,E13 9LB,www.newhamfoodbank.org.uk,N/A,@newhamfoodbank2
Newham FoodBank,E12 6HR,www.newhamfoodbank.org.uk,N/A,@newhamfoodbank3
Newham FoodBank,E13 8NF,www.newhamfoodbank.org.uk,N/A,@newhamfoodbank4
Newham FoodBank,E16 2JB,www.newhamfoodbank.org.uk,N/A,@newhamfoodbank5
Newham FoodBank,E13 8QB,www.newhamfoodbank.org.uk,N/A,@newhamfoodbank6
Newham FoodBank,E6 5YA,www.newhamfoodbank.org.uk,N/A,@newhamfoodbank1
Newmarket Open Door,CB8 0BW,www.newmarketopendoor.org.uk,N/A,N/A
NewStarts,B45 0JA,https://www.newstarts.org.uk,N/A,@N_ewStarts
NewStarts,B60 3DR,https://www.newstarts.org.uk,N/A,@N_ewStarts
NGC Community Hub,NG6 0JU,https://www.ngcnottingham.com/ngchub,N/A,N/A
Nightwatch,CR8 2QA,croydonnightwatch.org.uk,N/A,@WeAreNightwatch
Noah's Ark Food Bank,ME5 9QG,N/A,N/A,N/A
Noah's Ark Food Bank,E17 9AH,N/A,N/A,N/A
North Oxfordshire Community Food Bank,OX5 2DS,www.northoxfordshirecommunityfoodbank.org.uk/,N/A,N/A
North Oxfordshire Community Food Bank,OX7 5LL,www.northoxfordshirecommunityfoodbank.org.uk/,N/A,N/A
North Oxfordshire Community Food Bank,OX20 1TF,www.northoxfordshirecommunityfoodbank.org.uk/,N/A,N/A
North Paddington Food Bank,W9 2AR,www.npfoodbank.org.uk,N/A,@NPFoodbank
Northampton Hope Centre,NN1 3DS,www.northamptonhopecentre.org.uk/,N/A,@NptonHopeCentre
Nourish Community Foodbank,TN2 3UP,www.nourishcommunityfoodbank.org.uk,N/A,N/A
Oak Grover Parish Council Office (Milton Keynes Food Bank),MK10 9SG,www.mkfoodbank.org.uk/,@MKFoodBank,N/A
Okehampton Community Kitchen CIC,EX20 1AS,N/A,@okehamptoncommunitykitchen,@OkeKitchen
Oldmeldrum Community Pantry,AB51 0AA,N/A,N/A,N/A
Olive Branch Aid,SW11 5QR,www.stnectarios.co.uk,@SaintNectariosLondon,N/A
One Can Trust,HP13 6EB,www.onecantrust.org.uk/,@OneCanTrust2,@Onecan_trust
Our Kitchen on the isle of Thanet (CIC),CT9 1DX,www.ourkitchenontheisleofthanet.org.uk,@OurKitchenThanet,@ourkitchenthanet
Our Kitchen on the isle of Thanet (CIC),CT12 6AQ,www.ourkitchenontheisleofthanet.org.uk,@OurKitchenThanet,@ourkitchenthanet
Over 50's Foodbank,BL6 7TD,N/A,@mycommunitysupport,N/A
Over 55 Tuesday Mixer Club,ST17 4LY,N/A,N/A,N/A
Oxford Mutual Aid,OX4 1UR,www.oxfordmutualaid.org,@oxfordmutualaid,@oxfordmutualaid
Pan Together,PO30 2AX,www.pantogether.org.uk,@pantogether,N/A
Pantry Food Bank,SA8 4HD,www.pantryfoodbank.org,@PANTRYponty,@PantryPonty
Paston Farm Community Foundation,PE4 7XB,N/A,@pastonfarmcommunityfoundation,N/A
PATCH - Pembrokeshire Action to Combat Hardship,SA72 6TD,www.patchcharity.org.uk,N/A,N/A
PATCH - Pembrokeshire Action to Combat Hardship,SA68 0YH,www.patchcharity.org.uk,N/A,N/A
PATCH - Pembrokeshire Action to Combat Hardship,SA61 1QE,www.patchcharity.org.uk,N/A,N/A
PATCH - Pembrokeshire Action to Combat Hardship,SA61 1QE,www.patchcharity.org.uk,N/A,N/A
PATCH - Pembrokeshire Action to Combat Hardship,SA70 7HU,www.patchcharity.org.uk,N/A,N/A
Pendle Food For All,BB9 8EL,,N/A,N/A
People Matter,EX15 1JX,www.standrewscullompton.com/getting-involved/serving-others/people-matter/,N/A,N/A
People without labels,G40 1PE,www.thespacescotland.org,N/A,N/A
Poitiers Care,SO40 7DU,N/A,N/A,N/A
Pollokshields Community Food Point,G41 1NY,www.pollokshieldsfoodpoint.org,www.facebook.com/groups/233786887753803/?mibextid=HsNCOg,@pollokshieldsc1
Pontarddulais Partnership,SA4 8PA,N/A,@canolfanybont.org,N/A
Porch Boxes,M26 4LN,www.porchboxes.wordpress.com/,@porchboxes,@PorchBoxes
Port Grocery,CH65 0AB,N/A,N/A,N/A
Preen Community Interest Company,SG18 0BP,www.preencic.org,@preencic,N/A
"Proactive Communities, an arm of Blairgowrie and Rattray Development Trust",PH10 6NQ,N/A,N/A,N/A
Provide Devon,PL5 3LS,www.providedevon.org.uk,@providedevon,DevonProvide
Purley Food Hub,CR8 2LN,www.purleyfoodhub.net/,N/A,N/A
PXI Parson Cross Initiative Projects,S5 8NJ,www.pxiprojects.wordpress.com/,@pxiprojects,N/A
Quaker Social Action,EC1V 8AJ,www.quakersocialaction.org.uk/we-can-help/homelessness-housing/cook,N/A,@QSA
Quaker Social Action,E14 7AW,www.quakersocialaction.org.uk/we-can-help/homelessness-housing/cook,N/A,@QSA
Queens Park Govanhill Parish Church Foodbank,G42 8QZ,www.qpgparish.wordpress.com/food-bank/,N/A,N/A
